InvNo,Taxable,TotalGST,InvVal
POS1129,1178.58,58.93000000000001,1237.51
POS1130,9695.94,484.79999999999995,10180.74
POS1131,2619.05,130.95,2750.0
POS1132,117.86,5.89,123.74
POS1133,4276.19,213.81,4490.0
POS1134,1963.31,98.17,2060.48
POS1135,671.43,33.57,635.0
POS1136,2404.76,120.24,2525.0
POS1137,6947.62,347.38,7295.0
POS1138,1190.48,59.52,1250.0
POS1139,1802.62,90.12,1892.73
POS1140,9288.06,464.4,9698.460000000001
POS1141,1752.4,87.62,1840.02
POS1143,2571.4300000000003,128.57,2699.99
POS1144,14928.57,746.44,15675.01
POS1145,8504.75,425.24,8929.99
POS1146,361.92,18.1,380.02
POS1147,678.57,33.93,712.5
POS1148,340.45,17.02,357.47
POS1149,514.28,25.71,539.99
POS1150,10404.76,520.24,10925.0
POS1151,589.52,29.48,619.0
POS1152,1053.5700000000002,52.68,1106.25
POS1153,2642.8599999999997,132.14,2775.0
POS1154,9578.52,478.93999999999994,10057.45
POS1155,10909.529999999999,545.47,11455.01
POS1156,8378.61,418.93,8357.63
POS1157,3357.84,167.9,3525.74
POS1158,964.3,48.22,911.22
POS1159,1823.81,91.19,1915.0
POS1160,1190.48,59.52,1250.0
POS1161,10566.67,528.33,11095.0
POS1162,1452.38,72.62,1525.0
POS1163,1376.21,68.81,1445.02
POS1164,900.0,45.0,945.0
POS1165,992.85,49.64,1042.49
POS1166,880.95,44.05,925.0
POS1167,3067.88,153.4,3221.27
POS1168,6961.02,508.97999999999996,6723.0
POS1169,2691.67,134.57999999999998,2826.25
POS1170,582.14,29.11,611.25
POS1171,1718.75,206.25,1925.0
POS1172,410.72,20.54,431.26
POS1173,1638.02,81.91,1719.93
POS1174,495.24,24.76,520.0
POS1175,667.8399999999999,33.39,701.22
POS1176,288.09,14.4,302.49
POS1177,1942.88,97.14,2040.02
POS1178,927.38,46.37,876.34
POS1179,589.3,29.46,618.76
POS1180,1552.61,77.63,1545.24
POS1181,1380.95,69.05,1450.0
POS1182,828.5699999999999,41.43,783.0
POS1183,838.09,41.91,792.0
POS1184,3870.2400000000002,193.51000000000002,4063.75
POS1185,1095.24,54.76,1150.0
POS1186,2692.87,134.64999999999998,2827.5200000000004
POS1187,654.78,32.730000000000004,618.71
POS1188,87.62,4.38,92.0
POS1189,2166.67,108.33,2275.0
POS1190,680.96,34.05,715.01
POS1191,1403.57,70.17999999999999,1473.75
POS1192,1093.1799999999998,59.349999999999994,1152.52
POS1193,2075.89,249.11,2325.0
POS1194,2071.4300000000003,103.57,1957.5
POS1195,3142.85,157.15,3300.0
POS1196,235.72,11.79,247.51
POS1197,4514.92,347.61,4376.23
POS1198,2121.44,106.07,2227.51
POS1199,297.63,14.88,312.5
POS1200,757.1400000000001,37.86,795.0
POS1201,1035.73,51.79,1087.52
POS1202,2542.84,127.14,2669.98
POS1203,1650.01,82.5,1732.5
POS1204,714.3,35.72,750.02
POS1205,1190.48,59.52,1250.0
POS4592,7404.75,370.25,7770.0
POS4593,3928.57,196.43,4125.0
POS4594,2047.62,102.38,2150.0
POS4595,6200.0,310.0,6500.0
POS4596,4126.18,206.32,4332.5
POS4597,2864.28,143.22,2999.5
POS4598,2455.36,294.64,2750.0
POS4599,2619.05,130.95,2750.0
POS4600,392.85,19.64,412.49
POS4601,3081.43,154.07,3229.5
POS4602,1233.33,61.67,1295.0
POS4603,607.16,30.36,636.52
POS4604,1692.86,84.64,1776.5
POS4605,8311.89,823.11,9130.0
POS4606,2214.29,110.71,2325.0
POS4607,1785.71,89.29,1875.0
POS4608,2892.85,144.64000000000001,3037.49
POS4609,62.489999999999995,7.49,69.97999999999999
POS4610,3309.52,165.48,3475.0
POS4611,2357.14,117.86,2475.0
POS4612,2609.52,130.48000000000002,2740.0
POS4614,1900.0,95.0,1995.0
POS4615,4483.63,366.37,4850.0
POS4616,9495.24,624.76,10000.0
POS4617,489.28,24.47,513.75
POS4618,5942.86,297.14,6240.0
POS4619,2645.23,132.27,2777.5
POS4620,609.52,30.48,640.0
POS4621,2477.68,297.32,2775.0
POS4622,5000.0,250.0,5250.0
POS4623,1154.75,57.74,1212.49
POS4624,3020.21,151.01,3171.2200000000003
POS4625,2638.06,131.89000000000001,2769.95
POS4626,2299.11,275.89,2575.0
POS4627,2316.67,115.83000000000001,2432.5
POS4628,2523.81,126.19,2650.0
POS4629,2476.19,123.81,2600.0
POS4630,461.9,23.1,485.0
POS4632,1857.14,92.86,1950.0
POS4633,875.24,43.769999999999996,919.01
POS4634,2517.86,125.89,2643.75
POS4635,1666.67,83.33,1750.0
POS4636,1706.89,85.34,1792.23
POS4637,2238.1,111.9,2350.0
POS4638,3370.5299999999997,404.47,3775.0
POS4639,2047.62,102.38,2150.0
POS4640,1566.67,78.33,1645.0
POS4641,947.62,47.38,995.0
POS4642,376.19,18.81,395.0
POS4643,1149.96,57.5,1207.46
POS4644,763.0999999999999,38.16,800.25
